Identifier,Text,Source,Type,TimeStamp
cleaned_content.txt_1,"About the Affordable Care Act
The Patient Protection and Affordable Care Act, referred to as the Affordable Care Act or ACA for short, is the comprehensive health care reform law enacted in March 2010.
The law has 3 primary goals:",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_2,"Make affordable health insurance available to more people.
The law provides consumers with subsidies (premium tax credits) that lower costs for households with incomes between 100% and 400% of the federal poverty level (FPL).
Expand the Medicaid program to cover all adults with income below 138% of the FPL.
Not all states have expanded their Medicaid programs.
Support innovative medical care delivery methods designed to lower the costs of health care generally.
Pre-Existing Conditions
Health insurance companies cannot refuse coverage or charge you more just because you have a pre-existing condition  that is, a health problem you had before the date that new health coverage starts.
Health insurers can no longer charge more or deny coverage to you or your child because of a pre-existing health condition like asthma, diabetes, or cancer, as well as pregnancy.
They cannot limit benefits for that condition either.
Once you have insurance, they can't refuse to cover treatment for your pre-existing condition.
Exceptions
Grandfathered health plans do not have to cover pre-existing conditions.
Young Adult Coverage
If your parents plan covers dependents, you usually can get added to or stay on your parents health plan until you turn 26 years old.
You can join or remain on a parent's plan even if you are:",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_3,"Married
A parent
Not living with your parents
Attending school
Not financially dependent on your parents
Eligible to enroll in your employers plan
When Someone Turns 26
Your coverage will end on your 26th birthday.
When you lose coverage on your 26th birthday, you qualify for a Special Enrollment Period.
This lets you enroll in a health plan outside Open Enrollment.
Cancellations & Appeals
Insurance Cancellations
Insurance companies can no longer cancel your coverage just because you or your employer made a mistake on your insurance application.
Previously, insurance companies could take away your coverage, declare your policy invalid, and ask you to pay back any money they had spent on your medical care.
These protections apply to all health plans, including grandfathered plans, whether you get coverage through your employer or buy it yourself.
Can my insurance still get cancelled?
Your insurance company can cancel your coverage if you intentionally put false or incomplete information on your insurance application.
Your insurance company can cancel your coverage if you fail to pay your premiums on time.
Your insurance company notify you at least 30 days before they can cancel your coverage, giving you time to appeal the decision or find new coverage.
Appealing Health Plan Decisions
If your health insurer refuses to pay a claim or ends your coverage, you have the right to appeal the decision and have it reviewed by a third party.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_4,"You can ask that your insurance company reconsider its decision.
Insurers have to tell you why theyve denied your claim or ended your coverage.
And they must let you know how you can dispute their decisions.
Two Ways to Appeal
There are two ways to appeal a health plan decision:
Internal appeal: If your claim is denied or your health insurance coverage canceled, you have the right to an internal appeal.
You may ask your insurance company to conduct a full and fair review of its decision.
If the case is urgent, your insurance company must speed up this process.
External review: You have the right to take your appeal to an independent third party for review.
This is called external review.
External review means that the insurance company no longer gets the final say over whether to pay a claim.
Help is Available
Your state may have a Consumer Assistance Program that can help you file an appeal or request a review of your health insurance companys decision if you are not sure what steps to take.
If you have questions about internal appeals and external reviews, call your health plan or state insurance regulator .
Lifetime & Annual Limits
The health care law stops insurance companies from limiting yearly or lifetime coverage expenses for essential health benefits.
Lifetime Limits
Insurance companies can no longer set a dollar limit on what they spend on essential health benefits for your care during the entire time youre enrolled in that plan.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_5,"Previously, health plans set a lifetime limit  a dollar limit on what they would spend for your covered benefits during the entire time you were enrolled in that plan.
You were required to pay the cost of all care exceeding those limits.
Annual Limits
Insurance companies can no longer set yearly dollar limits on what they spend for your coverage.
Previously, health plans set an annual limit  a dollar limit on their yearly spending for your covered benefits.
You were required to pay the cost of all care exceeding those limits.
Exceptions
Plans can put an annual dollar limit and a lifetime dollar limit on spending for health care services that are not considered essential health benefits.
Grandfathered plans are not required to follow the rules on annual limits.
Preventive Care
Most plans must over a set of preventive services  like shots and screenings  at no cost to you.
For example, depending on your age, you may have access to no-cost preventive services such as:",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_6,"Blood pressure, diabetes, and cholesterol tests
Many cancer screenings, including mammograms and colonoscopies
Counseling on such topics as quitting smoking, losing weight, eating healthfully, treating depression, and reducing alcohol use
Regular well-baby and well-child visits
Routine vaccinations against diseases such as measles, polio, or meningitis
Counseling, screening, and vaccines to ensure healthy pregnancies
Flu shots and other vaccines
Why am I being charged a fee for preventive care?
Your health plan may charge a fee if:",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_7,"Out-of-network providers: These services are free only when delivered by a doctor or other provider in your plans network.
Your health plan may allow you to receive these services from an out-of-network provider but may charge you a fee.
Office visit fees: Be aware that your plan can require you to pay some costs of the office visit if the preventive service is not the primary purpose of the visit.
Grandfathered plans: If your plan is grandfathered, these benefits may not be available to you.
Questions
Talk to a health care provider to know which covered preventive services are right for you  based on your age, gender, and health status.
Contact your insurance company if you have questions about your plan or fees.
Since its enactment on March 23, 2010, the Affordable Care Act (ACA) has led to an historic advancement of health equity in the United States.
Thanks to the ACA, millions of Americans have gained health coverage without lifetime limits, and protections are in place for people with preexisting conditions.
People have access to essential health benefits, including preventive and rehabilitative care, prescription drugs, wellness visits and contraceptives, and mental health and substance use treatment, among many others.
When does Medicare coverage start?
Medicare coverage starts based on when you sign up and which sign-up period youre in.
Generally, when you turn 65.
This is calledyour Initial Enrollment Period.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_8,"Generally, when you turn 65.
This is calledyour Initial Enrollment Period.
It lasts for 7 months, starting 3 months before you turn 65, and ending 3 months after the month you turn 65.
If you miss your 7-month Initial Enrollment Period, you may have to wait to sign up and pay a monthly late enrollment penalty for as long as you have Part B coverage.
The penalty goes up the longer you wait.
You may also have to pay a penalty if you have to pay a Part A premium, also called Premium-Part A. Learn more about how to avoid late enrollment penalties.
The date your coverage starts depends on which month you sign up during your Initial Enrollment Period.
Coverage always starts on the first of the month.
You can sign up for Part A any time after you turn 65.
Your Part A coverage starts 6 months back from when you sign up or when you apply for benefits from Social Security (or the Railroad Retirement Board).
Coverage cant start earlier than the month you turned 65.
After your Initial Enrollment Period ends, you can only sign up for Part B and Premium-Part A during one of the other enrollment periods.
You can sign up between January 1-March 31 each year.
This is called the General Enrollment Period.
Your coverage starts the month after you sign up.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_9,"This is called the General Enrollment Period.
Your coverage starts the month after you sign up.
You might pay a monthly late enrollment penalty, if you dont qualify for a Special Enrollment Period.
Get details about the late enrollment penalties.
After your first chance to sign up (Initial Enrollment Period), there are certain situations when you can sign up for Part B (and Premium-Part A) without paying a late enrollment penalty.
A Special Enrollment Period is only available for a limited time.
If you dont sign up during your Special Enrollment Period, youll have to wait for the next General Enrollment Period and you might have to pay a monthly late enrollment penalty.
Starts: The day youre notified that your Medicaid coverage is ending.
Ends: 6 months after your Medicaid coverage ends.
Coverage begins:The month after you sign up, or the date your Medicaid coverage ends, whichever you choose.
Fill out form CMS-10797 and send the completed form to your local Social Security office by fax or mail.
Starts: The day the Federal, state or local government declares the emergency or disaster, or the date in that declaration (whichever is earlier).
The end date in the original declaration.
The last day of any extensions to the declaration.
The date the government revokes or announces the end of the declaration.
Coverage begins:The month after you sign up.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_10,"Coverage begins:The month after you sign up.
Fill out form CMS-10797 and send the completed form to your local Social Security office by fax or mail.
Starts: The day you notify the Social Security Administration that your health plan or employer misrepresented or gave you incorrect information.
Ends: 6 months later.
Coverage begins:The month after you sign up.
Fill out form CMS-10797 and send the completed form to your local Social Security office by fax or mail.
Starts: The day you're released from custody.
Ends: The last day of the 12th month after the month you're released.
Coverage begins:The month after you sign up, or you can select retroactive coverage back to your release date (but not a date before your release date).
You can only request retroactive coverage up to 6 months in the past.
What happens if  choose a coverage start date in the past?
Fill out form CMS-10797 and send the completed form to your local Social Security office by fax or mail.
Starts: Once Social Security decides you qualify for a Special Enrollment Period.
Ends: At least 6 months later.
Coverage begins:The month after your sign up.
Fill out form CMS-10797 and send the completed form to your local Social Security office by fax or mail.
Starts: The first month after your Initial Enrollment Period ends.",https://www.healthcare.gov/,ACA,5/11/2023
